Column1,ID,CID,QID,RID,EID,AID,Country,Question Text,Question Text (Short),Response,Education,Age,Weighted Mean,Cat ID,Category,Question Context
46356,46356,49,1,4,1,4,Nicaragua,How often do you think about climate change?,Thinking about climate change,Never,All Education,36 to 59,4,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46357,46357,49,1,1000,1,4,Nicaragua,How often do you think about climate change?,Thinking about climate change,Don't know,All Education,36 to 59,0,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46424,46424,49,1,1,1,5,Nicaragua,How often do you think about climate change?,Thinking about climate change,Daily,All Education,60 plus,NA,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46425,46425,49,1,2,1,5,Nicaragua,How often do you think about climate change?,Thinking about climate change,Weekly,All Education,60 plus,NA,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46426,46426,49,1,3,1,5,Nicaragua,How often do you think about climate change?,Thinking about climate change,A few times a year,All Education,60 plus,NA,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46427,46427,49,1,4,1,5,Nicaragua,How often do you think about climate change?,Thinking about climate change,Never,All Education,60 plus,NA,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46428,46428,49,1,1000,1,5,Nicaragua,How often do you think about climate change?,Thinking about climate change,Don't know,All Education,60 plus,NA,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46495,46495,49,1,1,4,1,Nicaragua,How often do you think about climate change?,Thinking about climate change,Daily,12 to 19,All Ages,52,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46496,46496,49,1,2,4,1,Nicaragua,How often do you think about climate change?,Thinking about climate change,Weekly,12 to 19,All Ages,14,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46497,46497,49,1,3,4,1,Nicaragua,How often do you think about climate change?,Thinking about climate change,A few times a year,12 to 19,All Ages,30,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46498,46498,49,1,4,4,1,Nicaragua,How often do you think about climate change?,Thinking about climate change,Never,12 to 19,All Ages,4,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46499,46499,49,1,1000,4,1,Nicaragua,How often do you think about climate change?,Thinking about climate change,Don't know,12 to 19,All Ages,0,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46566,46566,49,1,1,5,1,Nicaragua,How often do you think about climate change?,Thinking about climate change,Daily,20 or over,All Ages,NA,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46567,46567,49,1,2,5,1,Nicaragua,How often do you think about climate change?,Thinking about climate change,Weekly,20 or over,All Ages,NA,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46568,46568,49,1,3,5,1,Nicaragua,How often do you think about climate change?,Thinking about climate change,A few times a year,20 or over,All Ages,NA,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46569,46569,49,1,4,5,1,Nicaragua,How often do you think about climate change?,Thinking about climate change,Never,20 or over,All Ages,NA,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46570,46570,49,1,1000,5,1,Nicaragua,How often do you think about climate change?,Thinking about climate change,Don't know,20 or over,All Ages,NA,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46637,46637,49,1,1,2,1,Nicaragua,How often do you think about climate change?,Thinking about climate change,Daily,Never Attended,All Ages,NA,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46638,46638,49,1,2,2,1,Nicaragua,How often do you think about climate change?,Thinking about climate change,Weekly,Never Attended,All Ages,NA,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46639,46639,49,1,3,2,1,Nicaragua,How often do you think about climate change?,Thinking about climate change,A few times a year,Never Attended,All Ages,NA,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46640,46640,49,1,4,2,1,Nicaragua,How often do you think about climate change?,Thinking about climate change,Never,Never Attended,All Ages,NA,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46641,46641,49,1,1000,2,1,Nicaragua,How often do you think about climate change?,Thinking about climate change,Don't know,Never Attended,All Ages,NA,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46708,46708,49,1,1,3,1,Nicaragua,How often do you think about climate change?,Thinking about climate change,Daily,Under 12,All Ages,49,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46709,46709,49,1,2,3,1,Nicaragua,How often do you think about climate change?,Thinking about climate change,Weekly,Under 12,All Ages,15,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46710,46710,49,1,3,3,1,Nicaragua,How often do you think about climate change?,Thinking about climate change,A few times a year,Under 12,All Ages,32,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46711,46711,49,1,4,3,1,Nicaragua,How often do you think about climate change?,Thinking about climate change,Never,Under 12,All Ages,4,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46712,46712,49,1,1000,3,1,Nicaragua,How often do you think about climate change?,Thinking about climate change,Don't know,Under 12,All Ages,0,1,Peoples' perspective,"People around the world are grappling with a range of challenging issues at all times, so we asked how much climate change is on their minds."
46003,46003,49,2,1,1,1,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,More worried,All Education,All Ages,72,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46004,46004,49,2,2,1,1,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,About the same,All Education,All Ages,22,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46005,46005,49,2,3,1,1,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,Less worried,All Education,All Ages,6,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46006,46006,49,2,1000,1,1,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,Don't know,All Education,All Ages,0,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46216,46216,49,2,1,1,2,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,More worried,All Education,Under 18,NA,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46217,46217,49,2,2,1,2,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,About the same,All Education,Under 18,NA,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46218,46218,49,2,3,1,2,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,Less worried,All Education,Under 18,NA,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46219,46219,49,2,1000,1,2,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,Don't know,All Education,Under 18,NA,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46287,46287,49,2,1,1,3,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,More worried,All Education,18 to 35,70,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46288,46288,49,2,2,1,3,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,About the same,All Education,18 to 35,24,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46289,46289,49,2,3,1,3,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,Less worried,All Education,18 to 35,6,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46290,46290,49,2,1000,1,3,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,Don't know,All Education,18 to 35,0,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46358,46358,49,2,1,1,4,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,More worried,All Education,36 to 59,77,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46359,46359,49,2,2,1,4,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,About the same,All Education,36 to 59,18,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46360,46360,49,2,3,1,4,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,Less worried,All Education,36 to 59,4,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46361,46361,49,2,1000,1,4,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,Don't know,All Education,36 to 59,0,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46429,46429,49,2,1,1,5,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,More worried,All Education,60 plus,NA,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46430,46430,49,2,2,1,5,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,About the same,All Education,60 plus,NA,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46431,46431,49,2,3,1,5,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,Less worried,All Education,60 plus,NA,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46432,46432,49,2,1000,1,5,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,Don't know,All Education,60 plus,NA,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46500,46500,49,2,1,4,1,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,More worried,12 to 19,All Ages,73,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46501,46501,49,2,2,4,1,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,About the same,12 to 19,All Ages,23,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46502,46502,49,2,3,4,1,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,Less worried,12 to 19,All Ages,3,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46503,46503,49,2,1000,4,1,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,Don't know,12 to 19,All Ages,0,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46571,46571,49,2,1,5,1,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,More worried,20 or over,All Ages,NA,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46572,46572,49,2,2,5,1,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,About the same,20 or over,All Ages,NA,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46573,46573,49,2,3,5,1,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,Less worried,20 or over,All Ages,NA,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46574,46574,49,2,1000,5,1,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,Don't know,20 or over,All Ages,NA,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46642,46642,49,2,1,2,1,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,More worried,Never Attended,All Ages,NA,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46643,46643,49,2,2,2,1,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,About the same,Never Attended,All Ages,NA,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46644,46644,49,2,3,2,1,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,Less worried,Never Attended,All Ages,NA,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46645,46645,49,2,1000,2,1,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,Don't know,Never Attended,All Ages,NA,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46713,46713,49,2,1,3,1,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,More worried,Under 12,All Ages,74,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46714,46714,49,2,2,3,1,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,About the same,Under 12,All Ages,19,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46715,46715,49,2,3,3,1,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,Less worried,Under 12,All Ages,7,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46716,46716,49,2,1000,3,1,Nicaragua,"Compared with last year, are you more or less worried about climate change?",Worry compared to last year,Don't know,Under 12,All Ages,0,1,Peoples' perspective,"As the impacts of climate change become more present in people’s daily lives, we asked what this means for their personal outlook."
46013,46013,49,4,1,1,1,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Worse than usual,All Education,All Ages,56,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46014,46014,49,4,2,1,1,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,About the same as usual,All Education,All Ages,38,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46015,46015,49,4,3,1,1,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Better than usual,All Education,All Ages,5,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46016,46016,49,4,1000,1,1,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Don't know,All Education,All Ages,0,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46226,46226,49,4,1,1,2,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Worse than usual,All Education,Under 18,NA,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46227,46227,49,4,2,1,2,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,About the same as usual,All Education,Under 18,NA,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46228,46228,49,4,3,1,2,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Better than usual,All Education,Under 18,NA,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46229,46229,49,4,1000,1,2,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Don't know,All Education,Under 18,NA,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46297,46297,49,4,1,1,3,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Worse than usual,All Education,18 to 35,52,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46298,46298,49,4,2,1,3,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,About the same as usual,All Education,18 to 35,42,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46299,46299,49,4,3,1,3,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Better than usual,All Education,18 to 35,5,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46300,46300,49,4,1000,1,3,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Don't know,All Education,18 to 35,0,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46368,46368,49,4,1,1,4,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Worse than usual,All Education,36 to 59,63,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46369,46369,49,4,2,1,4,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,About the same as usual,All Education,36 to 59,32,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46370,46370,49,4,3,1,4,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Better than usual,All Education,36 to 59,5,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46371,46371,49,4,1000,1,4,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Don't know,All Education,36 to 59,0,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46439,46439,49,4,1,1,5,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Worse than usual,All Education,60 plus,NA,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46440,46440,49,4,2,1,5,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,About the same as usual,All Education,60 plus,NA,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46441,46441,49,4,3,1,5,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Better than usual,All Education,60 plus,NA,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46442,46442,49,4,1000,1,5,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Don't know,All Education,60 plus,NA,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46510,46510,49,4,1,4,1,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Worse than usual,12 to 19,All Ages,58,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46511,46511,49,4,2,4,1,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,About the same as usual,12 to 19,All Ages,38,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46512,46512,49,4,3,4,1,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Better than usual,12 to 19,All Ages,4,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46513,46513,49,4,1000,4,1,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Don't know,12 to 19,All Ages,0,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46581,46581,49,4,1,5,1,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Worse than usual,20 or over,All Ages,NA,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46582,46582,49,4,2,5,1,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,About the same as usual,20 or over,All Ages,NA,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46583,46583,49,4,3,5,1,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Better than usual,20 or over,All Ages,NA,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46584,46584,49,4,1000,5,1,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Don't know,20 or over,All Ages,NA,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46652,46652,49,4,1,2,1,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Worse than usual,Never Attended,All Ages,NA,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46653,46653,49,4,2,2,1,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,About the same as usual,Never Attended,All Ages,NA,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46654,46654,49,4,3,2,1,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Better than usual,Never Attended,All Ages,NA,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46655,46655,49,4,1000,2,1,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Don't know,Never Attended,All Ages,NA,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46723,46723,49,4,1,3,1,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Worse than usual,Under 12,All Ages,54,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46724,46724,49,4,2,3,1,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,About the same as usual,Under 12,All Ages,39,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46725,46725,49,4,3,3,1,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Better than usual,Under 12,All Ages,7,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46726,46726,49,4,1000,3,1,Nicaragua,"Thinking about extreme weather events - such as, droughts, flooding, storms, and extreme heat or cold - was your community's experience this year...",Extreme weather experience,Don't know,Under 12,All Ages,0,1,Peoples' perspective,The impacts of climate change are here and some people are experiencing them more often and more intensely than others. We wanted to know who in the world is most affected.
46017,46017,49,5,1,1,1,Nicaragua,"How much has climate change affected any big decisions for your family, such as where to live or work, or what to buy?",Effects on big decisions,A lot,All Education,All Ages,41,1,Peoples' perspective,Climate change already affects our lives in many ways. We wanted to find out whether people are factoring it in their planning for the future.
46018,46018,49,5,2,1,1,Nicaragua,"How much has climate change affected any big decisions for your family, such as where to live or work, or what to buy?",Effects on big decisions,A little,All Education,All Ages,42,1,Peoples' perspective,Climate change already affects our lives in many ways. We wanted to find out whether people are factoring it in their planning for the future.
46019,46019,49,5,4,1,1,Nicaragua,"How much has climate change affected any big decisions for your family, such as where to live or work, or what to buy?",Effects on big decisions,Not at all,All Education,All Ages,16,1,Peoples' perspective,Climate change already affects our lives in many ways. We wanted to find out whether people are factoring it in their planning for the future.
46020,46020,49,5,1000,1,1,Nicaragua,"How much has climate change affected any big decisions for your family, such as where to live or work, or what to buy?",Effects on big decisions,Don't know,All Education,All Ages,0,1,Peoples' perspective,Climate change already affects our lives in many ways. We wanted to find out whether people are factoring it in their planning for the future.
46230,46230,49,5,1,1,2,Nicaragua,"How much has climate change affected any big decisions for your family, such as where to live or work, or what to buy?",Effects on big decisions,A lot,All Education,Under 18,NA,1,Peoples' perspective,Climate change already affects our lives in many ways. We wanted to find out whether people are factoring it in their planning for the future.
46231,46231,49,5,2,1,2,Nicaragua,"How much has climate change affected any big decisions for your family, such as where to live or work, or what to buy?",Effects on big decisions,A little,All Education,Under 18,NA,1,Peoples' perspective,Climate change already affects our lives in many ways. We wanted to find out whether people are factoring it in their planning for the future.
46232,46232,49,5,4,1,2,Nicaragua,"How much has climate change affected any big decisions for your family, such as where to live or work, or what to buy?",Effects on big decisions,Not at all,All Education,Under 18,NA,1,Peoples' perspective,Climate change already affects our lives in many ways. We wanted to find out whether people are factoring it in their planning for the future.
46233,46233,49,5,1000,1,2,Nicaragua,"How much has climate change affected any big decisions for your family, such as where to live or work, or what to buy?",Effects on big decisions,Don't know,All Education,Under 18,NA,1,Peoples' perspective,Climate change already affects our lives in many ways. We wanted to find out whether people are factoring it in their planning for the future.
46301,46301,49,5,1,1,3,Nicaragua,"How much has climate change affected any big decisions for your family, such as where to live or work, or what to buy?",Effects on big decisions,A lot,All Education,18 to 35,39,1,Peoples' perspective,Climate change already affects our lives in many ways. We wanted to find out whether people are factoring it in their planning for the future.
